,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",7685138,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",6567846,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"Heat Waves","Glass Animals",4422370,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"Bad Habits","Ed Sheeran",4015835,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,"My Universe",Coldplay,4013065,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
6,Pepas,Farruko,3908884,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
7,Woman,"Doja Cat",3890312,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,Shivers,"Ed Sheeran",3697536,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"THATS WHAT I WANT","Lil Nas X",3551491,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
10,Beggin',Måneskin,3345048,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"good 4 u","Olivia Rodrigo",3287867,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12,"MONTERO (Call Me By Your Name)","Lil Nas X",3236312,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
13,"love nwantiti (ah ah ah)",CKay,2995269,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
14,"Happier Than Ever","Billie Eilish",2928663,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
15,"Need To Know","Doja Cat",2843449,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
16,"Way 2 Sexy (with Future & Young Thug)",Drake,2809718,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
17,"Life Goes On","Oliver Tree",2779294,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
18,"Cold Heart - PNAU Remix","Elton John",2757265,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
19,"Kiss Me More (feat. SZA)","Doja Cat",2616481,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
