,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
20,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2567097,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
21,"Fair Trade (with Travis Scott)",Drake,2264978,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
22,Yonaguni,"Bad Bunny",2193989,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
23,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,2181307,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
24,MONEY,LISA,2151811,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
25,"Todo De Ti","Rauw Alejandro",2143741,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
26,traitor,"Olivia Rodrigo",2139598,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
27,"Levitating (feat. DaBaby)","Dua Lipa",2069449,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,Volví,Aventura,2064358,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
29,LALISA,LISA,2041697,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
30,"In Da Getto","J Balvin",1935155,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
31,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1922694,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
32,"Take My Breath","The Weeknd",1876773,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
33,"Meet Me At Our Spot","THE ANXIETY",1876483,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
34,"Blinding Lights","The Weeknd",1810475,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
35,"Girls Want Girls (with Lil Baby)",Drake,1774760,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
36,Hurricane,"Kanye West",1755255,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
37,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1744927,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
38,"Qué Más Pues?","J Balvin",1723778,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
39,"I WANNA BE YOUR SLAVE",Måneskin,1722960,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
40,"drivers license","Olivia Rodrigo",1669526,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
41,"Don't Be Shy",Tiësto,1636739,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
42,2055,"Sleepy Hallow",1622621,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
43,Butter,BTS,1586620,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
44,"Ley Seca","Jhay Cortez",1583390,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
45,Cúrame,"Rauw Alejandro",1581837,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
46,"Where Are You Now","Lost Frequencies",1566202,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
47,"Wildest Dreams (Taylor's Version)","Taylor Swift",1564213,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
48,"Get Into It (Yuh)","Doja Cat",1512312,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
49,"deja vu","Olivia Rodrigo",1492564,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
50,Sobrio,Maluma,1486433,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
51,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1435095,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
52,"Volando - Remix",Mora,1426685,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
53,"family ties (with Kendrick Lamar)","Baby Keem",1406229,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
54,"AM Remix","Nio Garcia",1397626,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
55,"Don't Go Yet","Camila Cabello",1367625,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
56,París,Ingratax,1365542,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
57,"Sweater Weather","The Neighbourhood",1359286,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
58,"Watermelon Sugar","Harry Styles",1353839,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
59,"Permission to Dance",BTS,1326766,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
60,Nostálgico,Rvssian,1287660,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
61,"Leave The Door Open","Bruno Mars",1285331,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
62,"Like I Can","Sam Smith",1273649,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
63,Bored,"Billie Eilish",1267288,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
64,happier,"Olivia Rodrigo",1260008,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
65,DÁKITI,"Bad Bunny",1259732,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
66,"Dark Red","Steve Lacy",1255070,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
67,"Entre Nosotros","Tiago PZK",1228477,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
68,"Mood (feat. iann dior)",24kGoldn,1217277,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
69,"Una Nota","J Balvin",1212040,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
70,Dynamite,BTS,1206263,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
71,"Someone You Loved","Lewis Capaldi",1199075,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
72,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1176897,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
73,"Love Tonight - Edit",Shouse,1174130,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
74,Freaks,"Surf Curse",1168699,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
75,"Don't Start Now","Dua Lipa",1156214,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
76,"I GUESS I'M IN LOVE","Clinton Kane",1137423,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
77,"Pareja Del Año","Sebastian Yatra",1098022,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
78,"edamame (feat. Rich Brian)",bbno$,1088211,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
79,Miénteme,TINI,1082421,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
80,"lovely (with Khalid)","Billie Eilish",1081241,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
81,"Astronaut In The Ocean","Masked Wolf",1070842,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
82,"Happier Than Ever - Edit","Billie Eilish",1068495,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
83,"Tiroteo - Remix","Marc Seguí",1062118,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
84,"The Business",Tiësto,1059356,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
85,"Love Again","Dua Lipa",1058724,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
86,"jealousy, jealousy","Olivia Rodrigo",1057221,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
87,"favorite crime","Olivia Rodrigo",1056703,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
88,LOCO,ITZY,1054922,https://open.spotify.com/track/59c0HrzmHfyQs6LgDw5cHe
89,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes",1044206,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
90,Perfect,"Ed Sheeran",1044056,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
91,"Ain't Shit","Doja Cat",1034142,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
92,"Your Heart","Joyner Lucas",1027741,https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD
93,"Save Your Tears","The Weeknd",1017928,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
94,"Have Mercy",Chlöe,1017324,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
95,SEJODIOTO,"KAROL G",1016897,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
96,"Chosen (feat. Ty Dolla $ign)",Blxst,1004432,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
97,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,1003806,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
98,"Before You Go","Lewis Capaldi",997998,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
99,"911 - Remix",Sech,990374,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
100,Circles,"Post Malone",983703,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
101,positions,"Ariana Grande",982265,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
102,Believer,"Imagine Dragons",980284,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
103,Moon,"Kanye West",975166,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM
104,"Champagne Poetry",Drake,971764,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
105,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,960589,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
106,RAPSTAR,"Polo G",956884,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
107,"double take",dhruv,946942,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
108,Loco,"Justin Quiles",946882,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
109,telepatía,"Kali Uchis",938153,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
110,"Dance Monkey","Tones And I",935300,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
111,A-O-K,"Tai Verdes",927353,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
112,"Heartbreak Anniversary",Giveon,926211,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
113,Yellow,Coldplay,925472,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
114,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",922646,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
115,"Smells Like Teen Spirit",Nirvana,912688,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
116,"Shape of You","Ed Sheeran",911308,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
117,Arcade,"Duncan Laurence",907799,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
118,"Off The Grid","Kanye West",902089,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
119,"love nwantiti (feat. ElGrande Toto) - North African Remix",CKay,896720,https://open.spotify.com/track/1EYeZGTMCjV7uVey5fNWXM
120,Heather,"Conan Gray",895664,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
121,"you broke me first","Tate McRae",888501,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
122,"Daddy Issues","The Neighbourhood",878165,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
123,"Jugaste y Sufrí","Eslabon Armado",867037,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
124,Levitating,"Dua Lipa",866012,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
125,"SCOOP (feat. Doja Cat)","Lil Nas X",851344,https://open.spotify.com/track/6bpq1jGkVz66Q3LYeoXdjZ
126,"You Right","Doja Cat",844281,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
127,Señorita,"Shawn Mendes",843242,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
128,"Poblado - Remix","J Balvin",843032,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8
129,"Gangsta's Paradise",Coolio,842192,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
130,Dandelions,"Ruth B.",839117,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
131,"Arranhão - Ao Vivo","Henrique & Juliano",836048,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
132,"The Real Slim Shady",Eminem,834914,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
133,"Say You Won't Let Go","James Arthur",834374,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
134,"WITHOUT YOU","The Kid LAROI",832736,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
135,"Bohemian Rhapsody - Remastered 2011",Queen,829385,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
136,"Talking to the Moon","Bruno Mars",829121,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
137,"Counting Stars",OneRepublic,828696,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
138,"She Knows (feat. Amber Coffman & Cults)","J. Cole",827595,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
139,"No Role Modelz","J. Cole",827367,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
140,Memories,"Maroon 5",824320,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
141,"Another Love","Tom Odell",823722,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
142,"Take Me To Church",Hozier,820969,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
143,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",819445,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
144,"The Nights",Avicii,817525,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
145,Shallow,"Lady Gaga",815227,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
146,goosebumps,"Travis Scott",812684,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
147,"Head & Heart (feat. MNEK)","Joel Corry",810311,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
148,"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi",809981,https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY
149,"Bala Love","Mc Anjim",805065,https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a
150,brutal,"Olivia Rodrigo",802443,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
151,Run,OneRepublic,794526,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
152,Riptide,"Vance Joy",794191,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
153,"Mon Amour - Remix",zzoilo,791218,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
154,"Mr. Brightside","The Killers",789754,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
155,"Every Breath You Take","The Police",789312,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
156,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",788158,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
157,"A La Antigüita","Calibre 50",784109,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
158,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,782302,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
159,"7 rings","Ariana Grande",781843,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
160,"All of Me","John Legend",781448,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
161,"ALMAS GEMELAS","Myke Towers",779288,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
162,"Jocelyn Flores",XXXTENTACION,777181,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
163,"Quer Voar",Matuê,776357,https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz
164,"Here's Your Perfect","Jamie Miller",774361,https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
165,"bad guy","Billie Eilish",772911,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
166,"No Friends In The Industry",Drake,771554,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
167,"Adore You","Harry Styles",765861,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
168,"Goosebumps - Remix","Travis Scott",764074,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
169,"Wake Me Up",Avicii,761672,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
170,"Too Easy",Gunna,761358,https://open.spotify.com/track/4eL3XeuGaEoVT8ttDh3hwY
171,"Wants and Needs (feat. Lil Baby)",Drake,759111,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
172,"Obsessed With You","Central Cee",758513,https://open.spotify.com/track/4PYfFHKfjYz6dwAtZhBy1z
173,Loverboy,A-Wall,753665,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP
174,"Roses - Imanbek Remix","SAINt JHN",753200,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
175,ONLY,LeeHi,751711,https://open.spotify.com/track/6TBJkXHPhu3EsMk1bshwuI
176,"Blank Space","Taylor Swift",751483,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
177,"Without Me",Eminem,746084,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
178,"Lucid Dreams","Juice WRLD",745083,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
179,2/Catorce,"Rauw Alejandro",744396,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
180,"Wildest Dreams","Taylor Swift",743663,https://open.spotify.com/track/3fVnlF4pGqWI9flVENcT28
181,"Hold On","Justin Bieber",741733,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
182,"Motley Crew","Post Malone",741322,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
183,"Dreams - 2004 Remaster","Fleetwood Mac",738588,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
184,"Botella Tras Botella","Gera MX",737650,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
185,"Sexo Virtual","Rauw Alejandro",731383,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
186,"Ranjha (From ""Shershaah"")","Jasleen Royal",728548,https://open.spotify.com/track/72zHuDxFQTjbL51qJQSA7j
187,"In the End","Linkin Park",726794,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
188,Reckless,"Madison Beer",724781,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
189,Hawái,Maluma,724729,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
190,"'Till I Collapse",Eminem,722171,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
191,"Never Going Home",Kungs,721314,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
192,Photograph,"Ed Sheeran",720517,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
193,Closer,"The Chainsmokers",716063,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
194,34+35,"Ariana Grande",714298,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
195,"Your Love (9PM)",ATB,713026,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
196,INFERNO,"Sub Urban",712831,https://open.spotify.com/track/7aonAWn0J0AJ47ZU9WHCXC
197,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",711708,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
198,"Something Just Like This","The Chainsmokers",710918,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
199,Payphone,"Maroon 5",710709,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
200,"Wonderwall - Remastered",Oasis,707433,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
