,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",8702859,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",7359778,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"My Universe",Coldplay,4897444,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
4,Pepas,Farruko,4870261,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
5,"Heat Waves","Glass Animals",4595016,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"Bad Habits","Ed Sheeran",4573991,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
7,Woman,"Doja Cat",4325652,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,Shivers,"Ed Sheeran",3908106,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"THATS WHAT I WANT","Lil Nas X",3902738,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
10,Beggin',Måneskin,3861687,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"MONTERO (Call Me By Your Name)","Lil Nas X",3657042,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
12,"good 4 u","Olivia Rodrigo",3586187,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
13,"Way 2 Sexy (with Future & Young Thug)",Drake,3235023,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
14,"Need To Know","Doja Cat",3110387,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
15,"Cold Heart - PNAU Remix","Elton John",3009321,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
16,"Kiss Me More (feat. SZA)","Doja Cat",2809990,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
17,"Life Goes On","Oliver Tree",2798750,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
18,"love nwantiti (ah ah ah)",CKay,2756677,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
19,"Happier Than Ever","Billie Eilish",2740488,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
20,Yonaguni,"Bad Bunny",2608515,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
21,"Fair Trade (with Travis Scott)",Drake,2557234,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
22,"Todo De Ti","Rauw Alejandro",2548708,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
23,Volví,Aventura,2406476,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
24,"In Da Getto","J Balvin",2303625,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
25,"Levitating (feat. DaBaby)","Dua Lipa",2290768,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
26,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,2151392,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
27,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2137642,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
28,LALISA,LISA,2115426,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
29,"Qué Más Pues?","J Balvin",2111337,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
30,traitor,"Olivia Rodrigo",2104677,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
31,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2068227,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
32,"Take My Breath","The Weeknd",2024458,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
33,"Blinding Lights","The Weeknd",1964155,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
34,"Girls Want Girls (with Lil Baby)",Drake,1932782,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
35,Hurricane,"Kanye West",1899497,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
36,Butter,BTS,1897269,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
37,"I WANNA BE YOUR SLAVE",Måneskin,1887954,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
38,"Meet Me At Our Spot","THE ANXIETY",1882180,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
39,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1829481,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
40,"Don't Be Shy",Tiësto,1795735,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
41,Cúrame,"Rauw Alejandro",1781293,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
42,"Ley Seca","Jhay Cortez",1780428,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
43,2055,"Sleepy Hallow",1752425,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
44,MONEY,LISA,1724249,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
45,"AM Remix","Nio Garcia",1715118,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
46,Sobrio,Maluma,1666496,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
47,"Get Into It (Yuh)","Doja Cat",1652713,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
48,"drivers license","Olivia Rodrigo",1644935,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
49,"Wildest Dreams (Taylor's Version)","Taylor Swift",1633260,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
50,"Volando - Remix",Mora,1627318,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
51,"Where Are You Now","Lost Frequencies",1617288,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
52,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1608217,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
53,"Permission to Dance",BTS,1584581,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
54,París,Ingratax,1572904,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
55,"deja vu","Olivia Rodrigo",1474820,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
56,"Love Tonight - Edit",Shouse,1454663,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
57,"Don't Go Yet","Camila Cabello",1448621,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
58,DÁKITI,"Bad Bunny",1446537,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
59,"Watermelon Sugar","Harry Styles",1439859,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
60,"family ties (with Kendrick Lamar)","Baby Keem",1431752,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
61,"Una Nota","J Balvin",1370438,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
62,"Entre Nosotros","Tiago PZK",1358129,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
63,"Mood (feat. iann dior)",24kGoldn,1338820,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
64,"Leave The Door Open","Bruno Mars",1338227,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
65,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,1325318,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
66,"Arranhão - Ao Vivo","Henrique & Juliano",1313212,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
67,Dynamite,BTS,1301970,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
68,Miénteme,TINI,1298880,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
69,Nostálgico,Rvssian,1292137,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
70,"Sweater Weather","The Neighbourhood",1285244,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
71,"Pareja Del Año","Sebastian Yatra",1261414,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
72,"Don't Start Now","Dua Lipa",1247578,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
73,"Like I Can","Sam Smith",1241869,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
74,happier,"Olivia Rodrigo",1231690,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
75,"The Business",Tiësto,1204343,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
76,"Tiroteo - Remix","Marc Seguí",1204275,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
77,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1199980,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
78,"Astronaut In The Ocean","Masked Wolf",1192364,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
79,"Dark Red","Steve Lacy",1191419,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
80,Freaks,"Surf Curse",1183088,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
81,"911 - Remix",Sech,1177718,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
82,"Meu Pedaço de Pecado","João Gomes",1165589,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
83,"Bala Love","Mc Anjim",1155222,https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a
84,"Someone You Loved","Lewis Capaldi",1145498,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
85,"Você Beberia Ou Não Beberia?","Zé Neto & Cristiano",1136486,https://open.spotify.com/track/4P7IXYPAkinTdZrBF5bGWp
86,"edamame (feat. Rich Brian)",bbno$,1125253,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
87,"Have Mercy",Chlöe,1122339,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
88,"Ela e Ela","Zé Neto & Cristiano",1121705,https://open.spotify.com/track/5Yu1AOnIzC1tWRJ4U0uW7u
89,"Love Again","Dua Lipa",1110819,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
90,Loco,"Justin Quiles",1108405,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
91,"Ain't Shit","Doja Cat",1104535,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
92,SEJODIOTO,"KAROL G",1104059,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
93,"I GUESS I'M IN LOVE","Clinton Kane",1092291,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
94,Perfect,"Ed Sheeran",1078476,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
95,"Save Your Tears","The Weeknd",1067774,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
96,"jealousy, jealousy","Olivia Rodrigo",1065910,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
97,"Chosen (feat. Ty Dolla $ign)",Blxst,1063937,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
98,"Chega E Senta - Ao Vivo","John Amplificado",1062723,https://open.spotify.com/track/2ookQf9qP2qiBuNFnNXyfl
99,"Smells Like Teen Spirit",Nirvana,1061014,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
100,"love nwantiti (feat. ElGrande Toto) - North African Remix",CKay,1060499,https://open.spotify.com/track/1EYeZGTMCjV7uVey5fNWXM
101,"Dance Monkey","Tones And I",1056187,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
102,"Champagne Poetry",Drake,1053523,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
103,Believer,"Imagine Dragons",1050432,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
104,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes",1048917,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
105,"SCOOP (feat. Doja Cat)","Lil Nas X",1048761,https://open.spotify.com/track/6bpq1jGkVz66Q3LYeoXdjZ
106,"Your Heart","Joyner Lucas",1044965,https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD
107,"Nota de Repúdio - Ao Vivo","Gusttavo Lima",1042308,https://open.spotify.com/track/3agFBAMPiIvzfTh7a9Udm6
108,"Poblado - Remix","J Balvin",1016963,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8
109,Bored,"Billie Eilish",1013299,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
110,RAPSTAR,"Polo G",1012502,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
111,"Shape of You","Ed Sheeran",1007512,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
112,"A La Antigüita","Calibre 50",1006841,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
113,"lovely (with Khalid)","Billie Eilish",1005080,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
114,"favorite crime","Olivia Rodrigo",1000010,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
115,A-O-K,"Tai Verdes",997491,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
116,Moon,"Kanye West",994819,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM
117,"Ficha Limpa","Gusttavo Lima",989694,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
118,positions,"Ariana Grande",985660,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
