,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
119,"Too Easy",Gunna,973625,https://open.spotify.com/track/4eL3XeuGaEoVT8ttDh3hwY
120,"Bohemian Rhapsody - Remastered 2011",Queen,970597,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
121,"Happier Than Ever - Edit","Billie Eilish",964599,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
122,Circles,"Post Malone",963180,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
123,MORENA,"Luan Santana",959803,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
124,Rolê,"Tarcísio do Acordeon",957353,https://open.spotify.com/track/50gPsfGHy5OnPauA9455DM
125,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",954550,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
126,"Quer Voar",Matuê,949836,https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz
127,"Botella Tras Botella","Gera MX",944848,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
128,"Before You Go","Lewis Capaldi",942855,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
129,LOCO,ITZY,940199,https://open.spotify.com/track/59c0HrzmHfyQs6LgDw5cHe
130,"double take",dhruv,931880,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
131,Levitating,"Dua Lipa",927350,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
132,telepatía,"Kali Uchis",926743,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
133,"Off The Grid","Kanye West",923643,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
134,"Heartbreak Anniversary",Giveon,916097,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
135,"Mon Amour - Remix",zzoilo,914066,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
136,Arcade,"Duncan Laurence",903899,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
137,"ALMAS GEMELAS","Myke Towers",901502,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
138,"Head & Heart (feat. MNEK)","Joel Corry",901098,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
139,"Butter (feat. Megan Thee Stallion)",BTS,892752,https://open.spotify.com/track/3JR0ducCexKbeK47g6AHm5
140,Yellow,Coldplay,892480,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
141,"Baby Me Atende","Matheus Fernandes",881411,https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7
142,Señorita,"Shawn Mendes",879798,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
143,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",874810,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
144,"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi",872833,https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY
145,"You Right","Doja Cat",871814,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
146,"Every Breath You Take","The Police",870294,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
147,Rasputin,Majestic,868936,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
148,"Gangsta's Paradise",Coolio,864685,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
149,September,"Earth, Wind & Fire",863601,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
150,"The Nights",Avicii,862513,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
151,"Wow Wow (feat. Becky G)","Maria Becerra",861779,https://open.spotify.com/track/4Yip3hds5IHyT7AqoNHfmX
152,"WITHOUT YOU","The Kid LAROI",860012,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
153,"Never Going Home",Kungs,858402,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
154,"The Real Slim Shady",Eminem,856521,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
155,2/Catorce,"Rauw Alejandro",855410,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
156,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,854788,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
157,"Mr. Brightside","The Killers",853478,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
158,"Goosebumps - Remix","Travis Scott",850795,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
159,Heather,"Conan Gray",846724,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
160,"Counting Stars",OneRepublic,844793,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
161,goosebumps,"Travis Scott",844597,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
162,Run,OneRepublic,844587,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
163,"Jugaste y Sufrí","Eslabon Armado",838772,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
164,Shallow,"Lady Gaga",838552,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
165,"Dreams - 2004 Remaster","Fleetwood Mac",837240,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
166,"No Friends In The Industry",Drake,835445,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
167,Hawái,Maluma,834921,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
168,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,834272,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
169,"Roses - Imanbek Remix","SAINt JHN",831848,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
170,Memories,"Maroon 5",825272,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
171,"Daddy Issues","The Neighbourhood",823382,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
172,brutal,"Olivia Rodrigo",819940,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
173,"you broke me first","Tate McRae",819644,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
174,"Wake Me Up",Avicii,818702,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
175,"Love Tonight - David Guetta Remix Edit",Shouse,816253,https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
176,Riptide,"Vance Joy",812550,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
177,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",808580,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
178,"DOLLA SIGN SLIME (feat. Megan Thee Stallion)","Lil Nas X",808055,https://open.spotify.com/track/7zQirOExB0VR8yWUOqYeio
179,"7 rings","Ariana Grande",805723,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
180,"EL MAKINON","KAROL G",803299,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
181,"Talking to the Moon","Bruno Mars",803037,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
182,"A Maior Saudade - Ao Vivo","Henrique & Juliano",802947,https://open.spotify.com/track/5Q0ZnQjk4lQpScX7ujswun
183,"Fiel - Remix",Wisin,802454,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
184,"Ranjha (From ""Shershaah"")","Jasleen Royal",801660,https://open.spotify.com/track/72zHuDxFQTjbL51qJQSA7j
185,"Sexo Virtual","Rauw Alejandro",799044,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
186,"bad guy","Billie Eilish",796868,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
187,Fiel,"Los Legendarios",787499,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
188,"La Sinvergüenza (feat. Banda MS de Sergio Lizárraga)","Christian Nodal",786876,https://open.spotify.com/track/1xO7tp4J5Wj0NeKrzIpd1V
189,"Take Me To Church",Hozier,786623,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
190,"Your Love (9PM)",ATB,784779,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
191,"Obsessed With You","Central Cee",783602,https://open.spotify.com/track/4PYfFHKfjYz6dwAtZhBy1z
192,Dandelions,"Ruth B.",780824,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
193,"Wonderwall - Remastered",Oasis,779570,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
194,"Say You Won't Let Go","James Arthur",776900,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
195,"Another Love","Tom Odell",775302,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
196,"No Role Modelz","J. Cole",774699,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
197,"Fancy Like","Walker Hayes",773516,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
198,"Another One Bites The Dust - Remastered 2011",Queen,771841,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
199,Loverboy,A-Wall,768397,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP
200,"Expectativa x Realidade","Matheus & Kauan",765597,https://open.spotify.com/track/1wdhj1r7aeWVDUl9d18YKu
