,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",7714466,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",6517968,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"Heat Waves","Glass Animals",4460880,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"My Universe",Coldplay,4142687,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
5,"Bad Habits","Ed Sheeran",4077321,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,Pepas,Farruko,3982650,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
7,Woman,"Doja Cat",3905977,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,Shivers,"Ed Sheeran",3706870,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"THATS WHAT I WANT","Lil Nas X",3529010,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
10,Beggin',Måneskin,3367619,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"good 4 u","Olivia Rodrigo",3287732,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12,"MONTERO (Call Me By Your Name)","Lil Nas X",3264339,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
13,"love nwantiti (ah ah ah)",CKay,3154464,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
14,"Happier Than Ever","Billie Eilish",2919838,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
15,"Cold Heart - PNAU Remix","Elton John",2844363,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
16,"Need To Know","Doja Cat",2843714,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
17,"Life Goes On","Oliver Tree",2819186,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
18,"Way 2 Sexy (with Future & Young Thug)",Drake,2797081,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
19,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2712521,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
20,"Kiss Me More (feat. SZA)","Doja Cat",2664147,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
21,MONEY,LISA,2259401,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
22,"Fair Trade (with Travis Scott)",Drake,2242318,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
23,Yonaguni,"Bad Bunny",2227452,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
24,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,2187943,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
