,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
24,Volví,Aventura,2031340,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
25,traitor,"Olivia Rodrigo",1982726,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
26,LALISA,LISA,1969676,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
27,"Levitating (feat. DaBaby)","Dua Lipa",1969404,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,"In Da Getto","J Balvin",1925150,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
29,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,1859708,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
30,"Qué Más Pues?","J Balvin",1779482,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
31,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1774951,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
32,MONEY,LISA,1740131,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
33,"Meet Me At Our Spot","THE ANXIETY",1712442,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
34,"Take My Breath","The Weeknd",1702772,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
35,"Blinding Lights","The Weeknd",1685131,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
36,Butter,BTS,1653589,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
37,Hurricane,"Kanye West",1638100,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
38,"I WANNA BE YOUR SLAVE",Måneskin,1632194,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
39,"Girls Want Girls (with Lil Baby)",Drake,1628383,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
40,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1575222,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
41,2055,"Sleepy Hallow",1560315,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
42,"drivers license","Olivia Rodrigo",1546840,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
43,"Wildest Dreams (Taylor's Version)","Taylor Swift",1519249,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
44,Cúrame,"Rauw Alejandro",1512390,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
45,"Ley Seca","Jhay Cortez",1485180,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
46,"Don't Be Shy",Tiësto,1481823,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
47,"AM Remix","Nio Garcia",1470379,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
48,"Get Into It (Yuh)","Doja Cat",1463069,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
49,Sobrio,Maluma,1440410,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
50,"Permission to Dance",BTS,1418926,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
51,"Volando - Remix",Mora,1395044,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
52,"deja vu","Olivia Rodrigo",1364512,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
53,París,Ingratax,1319051,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
54,"Where Are You Now","Lost Frequencies",1276150,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
55,"Watermelon Sugar","Harry Styles",1253458,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
56,DÁKITI,"Bad Bunny",1252305,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
57,"Sweater Weather","The Neighbourhood",1241935,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
58,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1240213,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
59,"family ties (with Kendrick Lamar)","Baby Keem",1222138,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
60,"Don't Go Yet","Camila Cabello",1197140,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
61,happier,"Olivia Rodrigo",1179977,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
62,"Mood (feat. iann dior)",24kGoldn,1175561,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
63,"Leave The Door Open","Bruno Mars",1174282,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
64,Dynamite,BTS,1173879,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
65,"Dark Red","Steve Lacy",1158838,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
66,"Like I Can","Sam Smith",1158444,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
67,"Entre Nosotros","Tiago PZK",1153758,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
68,Freaks,"Surf Curse",1141840,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
69,"Una Nota","J Balvin",1138958,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
70,"Love Tonight - Edit",Shouse,1105718,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
71,Miénteme,TINI,1099809,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
72,Nostálgico,Rvssian,1093301,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
73,"Someone You Loved","Lewis Capaldi",1070170,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
74,"Arranhão - Ao Vivo","Henrique & Juliano",1062835,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
75,Bored,"Billie Eilish",1061042,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
76,"Pareja Del Año","Sebastian Yatra",1050205,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
77,"Don't Start Now","Dua Lipa",1044861,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
78,"I GUESS I'M IN LOVE","Clinton Kane",1034866,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
79,"Astronaut In The Ocean","Masked Wolf",1029080,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
80,"Tiroteo - Remix","Marc Seguí",1028380,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
81,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1023000,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
82,"jealousy, jealousy","Olivia Rodrigo",1015041,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
83,"911 - Remix",Sech,1001427,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
84,"edamame (feat. Rich Brian)",bbno$,999596,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
85,"Meu Pedaço de Pecado","João Gomes",998258,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
86,"Ain't Shit","Doja Cat",988590,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
87,"lovely (with Khalid)","Billie Eilish",982915,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
88,"favorite crime","Olivia Rodrigo",971155,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
89,Perfect,"Ed Sheeran",970957,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
90,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,963385,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
91,"Have Mercy",Chlöe,961298,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
92,"The Business",Tiësto,957031,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
93,"Bala Love","Mc Anjim",950955,https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a
94,LOCO,ITZY,947192,https://open.spotify.com/track/59c0HrzmHfyQs6LgDw5cHe
95,"Love Again","Dua Lipa",940666,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
96,Believer,"Imagine Dragons",933982,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
97,"Save Your Tears","The Weeknd",929514,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
98,"Você Beberia Ou Não Beberia?","Zé Neto & Cristiano",925563,https://open.spotify.com/track/4P7IXYPAkinTdZrBF5bGWp
99,"Ela e Ela","Zé Neto & Cristiano",924757,https://open.spotify.com/track/5Yu1AOnIzC1tWRJ4U0uW7u
100,"Champagne Poetry",Drake,922763,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
101,"A La Antigüita","Calibre 50",921035,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
102,"Chosen (feat. Ty Dolla $ign)",Blxst,914903,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
103,RAPSTAR,"Polo G",910999,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
104,Moon,"Kanye West",908958,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM
105,Loco,"Justin Quiles",902673,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
106,"double take",dhruv,901092,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
107,"love nwantiti (feat. ElGrande Toto) - North African Remix",CKay,898461,https://open.spotify.com/track/1EYeZGTMCjV7uVey5fNWXM
108,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes",895905,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
109,"Dance Monkey","Tones And I",895573,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
110,"Before You Go","Lewis Capaldi",895210,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
111,A-O-K,"Tai Verdes",889328,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
112,"SCOOP (feat. Doja Cat)","Lil Nas X",884434,https://open.spotify.com/track/6bpq1jGkVz66Q3LYeoXdjZ
113,"Happier Than Ever - Edit","Billie Eilish",884057,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
114,SEJODIOTO,"KAROL G",881460,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
115,positions,"Ariana Grande",880291,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
116,"Chega E Senta - Ao Vivo","John Amplificado",878451,https://open.spotify.com/track/2ookQf9qP2qiBuNFnNXyfl
117,"Nota de Repúdio - Ao Vivo","Gusttavo Lima",870406,https://open.spotify.com/track/3agFBAMPiIvzfTh7a9Udm6
118,"Shape of You","Ed Sheeran",869471,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
119,Circles,"Post Malone",867394,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
120,"Smells Like Teen Spirit",Nirvana,863947,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
121,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",863862,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
122,"Poblado - Remix","J Balvin",860056,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8
123,Arcade,"Duncan Laurence",851141,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
124,Yellow,Coldplay,846504,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
125,"Heartbreak Anniversary",Giveon,845276,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
126,"Botella Tras Botella","Gera MX",842652,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
127,"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi",840039,https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY
128,"Bohemian Rhapsody - Remastered 2011",Queen,834523,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
129,Heather,"Conan Gray",832395,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
130,"Ficha Limpa","Gusttavo Lima",828327,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
131,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,827308,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
132,"Your Heart","Joyner Lucas",823815,https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD
133,telepatía,"Kali Uchis",822784,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
134,Rolê,"Tarcísio do Acordeon",818913,https://open.spotify.com/track/50gPsfGHy5OnPauA9455DM
135,Levitating,"Dua Lipa",817604,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
136,"Daddy Issues","The Neighbourhood",815729,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
137,"Off The Grid","Kanye West",804012,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
138,MORENA,"Luan Santana",793856,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
139,"you broke me first","Tate McRae",788542,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
140,"Too Easy",Gunna,781910,https://open.spotify.com/track/4eL3XeuGaEoVT8ttDh3hwY
141,Dandelions,"Ruth B.",780959,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
142,"You Right","Doja Cat",777152,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
143,"Another Love","Tom Odell",776061,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
144,"Mon Amour - Remix",zzoilo,775859,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
145,"WITHOUT YOU","The Kid LAROI",775781,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
146,Señorita,"Shawn Mendes",772613,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
147,"The Nights",Avicii,769951,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
148,brutal,"Olivia Rodrigo",769932,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
149,"Butter (feat. Megan Thee Stallion)",BTS,768411,https://open.spotify.com/track/3JR0ducCexKbeK47g6AHm5
150,"Counting Stars",OneRepublic,768025,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
151,"Talking to the Moon","Bruno Mars",766947,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
152,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",766858,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
153,"Quer Voar",Matuê,763348,https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz
154,"Jugaste y Sufrí","Eslabon Armado",763035,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
155,"Here's Your Perfect","Jamie Miller",759864,https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
156,"Ranjha (From ""Shershaah"")","Jasleen Royal",756447,https://open.spotify.com/track/72zHuDxFQTjbL51qJQSA7j
157,"ALMAS GEMELAS","Myke Towers",755373,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
158,Riptide,"Vance Joy",755323,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
159,2/Catorce,"Rauw Alejandro",752068,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
160,"Baby Me Atende","Matheus Fernandes",751790,https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7
161,"Every Breath You Take","The Police",749749,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
162,goosebumps,"Travis Scott",748774,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
163,"The Real Slim Shady",Eminem,747084,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
164,"Gangsta's Paradise",Coolio,746269,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
165,"Dreams - 2004 Remaster","Fleetwood Mac",742178,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
166,"Say You Won't Let Go","James Arthur",742068,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
167,"Mr. Brightside","The Killers",741758,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
168,Shallow,"Lady Gaga",738254,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
169,Loverboy,A-Wall,737653,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP
170,Memories,"Maroon 5",737044,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
171,"Take Me To Church",Hozier,735341,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
172,"Wow Wow (feat. Becky G)","Maria Becerra",724629,https://open.spotify.com/track/4Yip3hds5IHyT7AqoNHfmX
173,"7 rings","Ariana Grande",720284,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
174,"Jocelyn Flores",XXXTENTACION,719636,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
175,September,"Earth, Wind & Fire",711803,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
176,"bad guy","Billie Eilish",710995,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
177,"No Role Modelz","J. Cole",710802,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
178,Hawái,Maluma,710130,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
179,"Goosebumps - Remix","Travis Scott",709182,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
180,"She Knows (feat. Amber Coffman & Cults)","J. Cole",707693,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
181,"Lucid Dreams","Juice WRLD",705618,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
182,"Wake Me Up",Avicii,704748,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
183,"No Friends In The Industry",Drake,702304,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
184,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",700649,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
185,"Sexo Virtual","Rauw Alejandro",696637,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
186,"Wildest Dreams","Taylor Swift",696040,https://open.spotify.com/track/3fVnlF4pGqWI9flVENcT28
187,Run,OneRepublic,694671,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
188,"All of Me","John Legend",693943,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
189,INFERNO,"Sub Urban",692634,https://open.spotify.com/track/7aonAWn0J0AJ47ZU9WHCXC
190,"Head & Heart (feat. MNEK)","Joel Corry",692316,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
191,"Blank Space","Taylor Swift",684584,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
192,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",684419,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
193,Reckless,"Madison Beer",682226,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
194,"DOLLA SIGN SLIME (feat. Megan Thee Stallion)","Lil Nas X",681339,https://open.spotify.com/track/7zQirOExB0VR8yWUOqYeio
195,"Roses - Imanbek Remix","SAINt JHN",679254,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
196,"Adore You","Harry Styles",678482,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
197,"Ya Supérame (En Vivo)","Grupo Firme",677450,https://open.spotify.com/track/6HIIuuUIEzH1meVdGbMXyf
198,"death bed (coffee for your head)",Powfu,677152,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
199,"Obsessed With You","Central Cee",676233,https://open.spotify.com/track/4PYfFHKfjYz6dwAtZhBy1z
200,Hope,XXXTENTACION,675411,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
