,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",7500188,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",6329319,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"My Universe",Coldplay,4219891,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
4,Pepas,Farruko,4082555,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
5,"Heat Waves","Glass Animals",4069496,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"Bad Habits","Ed Sheeran",3777161,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
7,Woman,"Doja Cat",3687888,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,"THATS WHAT I WANT","Lil Nas X",3333903,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
9,Shivers,"Ed Sheeran",3280704,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
10,Beggin',Måneskin,3267940,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"good 4 u","Olivia Rodrigo",3145244,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12,"MONTERO (Call Me By Your Name)","Lil Nas X",3141139,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
13,"Need To Know","Doja Cat",2756549,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
14,"Way 2 Sexy (with Future & Young Thug)",Drake,2730920,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
15,"Happier Than Ever","Billie Eilish",2636790,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
16,"Life Goes On","Oliver Tree",2569496,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
17,"love nwantiti (ah ah ah)",CKay,2538103,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
18,"Cold Heart - PNAU Remix","Elton John",2487831,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
19,"Kiss Me More (feat. SZA)","Doja Cat",2476321,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
20,Yonaguni,"Bad Bunny",2251301,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
21,"Fair Trade (with Travis Scott)",Drake,2174061,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
22,"Todo De Ti","Rauw Alejandro",2171365,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
23,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2033773,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
