,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",8887544,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",7630214,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"My Universe",Coldplay,6768788,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
4,"Heat Waves","Glass Animals",4784611,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,Pepas,Farruko,4648869,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
6,"Bad Habits","Ed Sheeran",4598353,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
7,Woman,"Doja Cat",4438085,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,"THATS WHAT I WANT","Lil Nas X",4319729,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
9,Shivers,"Ed Sheeran",4105821,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
10,Beggin',Måneskin,3889778,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"MONTERO (Call Me By Your Name)","Lil Nas X",3808959,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
12,"good 4 u","Olivia Rodrigo",3689504,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
13,"Way 2 Sexy (with Future & Young Thug)",Drake,3362926,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
14,"Need To Know","Doja Cat",3225721,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
15,"Cold Heart - PNAU Remix","Elton John",2991598,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
16,"Happier Than Ever","Billie Eilish",2922766,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
17,"Kiss Me More (feat. SZA)","Doja Cat",2889843,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
18,"Life Goes On","Oliver Tree",2833009,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
19,"Fair Trade (with Travis Scott)",Drake,2822766,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
20,"love nwantiti (ah ah ah)",CKay,2754020,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
21,Yonaguni,"Bad Bunny",2562763,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
22,"Todo De Ti","Rauw Alejandro",2496306,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
23,Volví,Aventura,2394544,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
24,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,2342741,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
25,"Levitating (feat. DaBaby)","Dua Lipa",2304587,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
26,Butter,BTS,2282570,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
27,"In Da Getto","J Balvin",2239615,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
28,traitor,"Olivia Rodrigo",2236208,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
29,LALISA,LISA,2214203,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
30,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2131183,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
31,"Girls Want Girls (with Lil Baby)",Drake,2129434,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
32,Hurricane,"Kanye West",2101061,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
33,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2080758,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
34,"Take My Breath","The Weeknd",2075452,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
35,"Meet Me At Our Spot","THE ANXIETY",2050834,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
36,"Qué Más Pues?","J Balvin",2049999,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
37,"Wildest Dreams (Taylor's Version)","Taylor Swift",2000978,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
38,"Blinding Lights","The Weeknd",1979831,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
39,"I WANNA BE YOUR SLAVE",Måneskin,1942276,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
40,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1888901,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
41,"Permission to Dance",BTS,1880876,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
42,"Don't Be Shy",Tiësto,1811351,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
43,"Ley Seca","Jhay Cortez",1799830,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
44,2055,"Sleepy Hallow",1790468,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
45,Cúrame,"Rauw Alejandro",1765753,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
46,"drivers license","Olivia Rodrigo",1755080,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
47,"Get Into It (Yuh)","Doja Cat",1709903,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
48,"Where Are You Now","Lost Frequencies",1692225,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
49,"AM Remix","Nio Garcia",1671522,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
50,MONEY,LISA,1656785,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
51,"Volando - Remix",Mora,1653493,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
52,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1640995,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
