,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Volando - Remix",Mora,1407599,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
55,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1395255,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
56,París,Ingratax,1357063,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
57,"Don't Go Yet","Camila Cabello",1346930,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
58,"Watermelon Sugar","Harry Styles",1326931,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
59,"Sweater Weather","The Neighbourhood",1319558,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
60,"Like I Can","Sam Smith",1279640,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
61,happier,"Olivia Rodrigo",1258674,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
62,Nostálgico,Rvssian,1256744,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
63,"Dark Red","Steve Lacy",1255253,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
64,"Leave The Door Open","Bruno Mars",1251861,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
65,DÁKITI,"Bad Bunny",1240770,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
66,Bored,"Billie Eilish",1222656,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
67,Dynamite,BTS,1199248,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
68,"Mood (feat. iann dior)",24kGoldn,1198300,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
69,"Entre Nosotros","Tiago PZK",1191301,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
70,"Love Tonight - Edit",Shouse,1177997,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
71,Freaks,"Surf Curse",1175063,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
72,"Una Nota","J Balvin",1170813,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
73,"Someone You Loved","Lewis Capaldi",1164580,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
74,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1163168,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
75,"I GUESS I'M IN LOVE","Clinton Kane",1148812,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
