,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",7670970,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",6548577,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"Heat Waves","Glass Animals",4370169,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"My Universe",Coldplay,4194978,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
5,"Bad Habits","Ed Sheeran",3985570,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,Pepas,Farruko,3882677,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
7,Woman,"Doja Cat",3871945,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,Shivers,"Ed Sheeran",3669371,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"THATS WHAT I WANT","Lil Nas X",3590859,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
10,Beggin',Måneskin,3330274,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"good 4 u","Olivia Rodrigo",3276033,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12,"MONTERO (Call Me By Your Name)","Lil Nas X",3219560,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
13,"love nwantiti (ah ah ah)",CKay,2931910,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
14,"Happier Than Ever","Billie Eilish",2927528,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
15,"Need To Know","Doja Cat",2846380,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
16,"Way 2 Sexy (with Future & Young Thug)",Drake,2832618,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
17,"Life Goes On","Oliver Tree",2736778,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
18,"Cold Heart - PNAU Remix","Elton John",2718935,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
19,"Kiss Me More (feat. SZA)","Doja Cat",2595690,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
20,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2439207,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
21,"Fair Trade (with Travis Scott)",Drake,2286701,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
22,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,2183143,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
23,Yonaguni,"Bad Bunny",2174958,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
24,traitor,"Olivia Rodrigo",2145140,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
25,"Todo De Ti","Rauw Alejandro",2120120,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
26,LALISA,LISA,2066421,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
27,MONEY,LISA,2051246,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
28,"Levitating (feat. DaBaby)","Dua Lipa",2045591,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
29,Volví,Aventura,2037229,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
30,"In Da Getto","J Balvin",1912257,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
31,"Meet Me At Our Spot","THE ANXIETY",1892754,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
32,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1892395,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
33,"Take My Breath","The Weeknd",1843176,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
34,"Girls Want Girls (with Lil Baby)",Drake,1786344,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
35,Hurricane,"Kanye West",1780328,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
36,"Blinding Lights","The Weeknd",1770296,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
37,"I WANNA BE YOUR SLAVE",Måneskin,1719932,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
38,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1719695,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
39,"Qué Más Pues?","J Balvin",1705923,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
40,"drivers license","Olivia Rodrigo",1657253,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
41,"Don't Be Shy",Tiësto,1617181,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
42,Butter,BTS,1614804,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
43,"Wildest Dreams (Taylor's Version)","Taylor Swift",1609939,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
44,2055,"Sleepy Hallow",1609341,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
45,"Ley Seca","Jhay Cortez",1578128,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
46,Cúrame,"Rauw Alejandro",1552367,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
47,"Where Are You Now","Lost Frequencies",1528125,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
48,"Get Into It (Yuh)","Doja Cat",1515026,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
49,"deja vu","Olivia Rodrigo",1480313,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
50,Sobrio,Maluma,1471378,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
51,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1429060,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
52,"family ties (with Kendrick Lamar)","Baby Keem",1424423,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
53,"Volando - Remix",Mora,1409136,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
54,"AM Remix","Nio Garcia",1394507,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
55,"Permission to Dance",BTS,1374360,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
56,"Don't Go Yet","Camila Cabello",1359006,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
57,París,Ingratax,1352756,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
58,"Watermelon Sugar","Harry Styles",1336230,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
59,"Sweater Weather","The Neighbourhood",1330272,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
60,Nostálgico,Rvssian,1286881,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
61,"Like I Can","Sam Smith",1277376,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
62,"Leave The Door Open","Bruno Mars",1265058,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
63,happier,"Olivia Rodrigo",1263931,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
64,"Dark Red","Steve Lacy",1256102,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
65,Bored,"Billie Eilish",1246275,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
66,DÁKITI,"Bad Bunny",1241350,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
67,"Mood (feat. iann dior)",24kGoldn,1206411,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
68,"Entre Nosotros","Tiago PZK",1203621,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
69,Dynamite,BTS,1199229,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
70,"Una Nota","J Balvin",1190732,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
71,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1183061,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
72,"Someone You Loved","Lewis Capaldi",1181987,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
73,"Love Tonight - Edit",Shouse,1179426,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
74,Freaks,"Surf Curse",1168160,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
75,"I GUESS I'M IN LOVE","Clinton Kane",1147454,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
76,"Don't Start Now","Dua Lipa",1135435,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
77,"Pareja Del Año","Sebastian Yatra",1094770,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
78,"edamame (feat. Rich Brian)",bbno$,1083941,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
79,Miénteme,TINI,1065455,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
80,"lovely (with Khalid)","Billie Eilish",1064306,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
81,"Astronaut In The Ocean","Masked Wolf",1058981,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
82,"The Business",Tiësto,1057470,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
83,"favorite crime","Olivia Rodrigo",1056058,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
84,LOCO,ITZY,1055733,https://open.spotify.com/track/59c0HrzmHfyQs6LgDw5cHe
85,"jealousy, jealousy","Olivia Rodrigo",1054341,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
86,"Tiroteo - Remix","Marc Seguí",1052604,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
87,"Your Heart","Joyner Lucas",1050324,https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD
88,"Love Again","Dua Lipa",1042970,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
89,"Have Mercy",Chlöe,1036024,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
90,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes",1034222,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
91,Perfect,"Ed Sheeran",1030316,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
92,"Ain't Shit","Doja Cat",1029460,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
93,"Happier Than Ever - Edit","Billie Eilish",1020299,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
94,"Chosen (feat. Ty Dolla $ign)",Blxst,1012015,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
95,"Save Your Tears","The Weeknd",1011215,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
96,SEJODIOTO,"KAROL G",1010513,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
